Model,TBS2204B
Firmware Version,v1.32.139

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,200000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH3
-1.59467e-02,0.147195
-1.59466e-02,0.147508
-1.59464e-02,0.148523
-1.59462e-02,0.148523
-1.59461e-02,0.148367
-1.59459e-02,0.148547
-1.59458e-02,0.149008
-1.59456e-02,0.150188
-1.59454e-02,0.150883
-1.59453e-02,0.151
-1.59451e-02,0.151
-1.59450e-02,0.151094
-1.59448e-02,0.151336
-1.59446e-02,0.152016
-1.59445e-02,0.152273
-1.59443e-02,0.152508
-1.59442e-02,0.153063
-1.59440e-02,0.153703
-1.59438e-02,0.154477
-1.59437e-02,0.154602
-1.59435e-02,0.154734
-1.59434e-02,0.154766
-1.59432e-02,0.154945
-1.59430e-02,0.155156
-1.59429e-02,0.155234
-1.59427e-02,0.15593
-1.59426e-02,0.156641
-1.59424e-02,0.15682
-1.59422e-02,0.156742
-1.59421e-02,0.157359
-1.59419e-02,0.158289
-1.59418e-02,0.158523
-1.59416e-02,0.158742
-1.59414e-02,0.158984
-1.59413e-02,0.15968
-1.59411e-02,0.160406
-1.59410e-02,0.160266
-1.59408e-02,0.16
-1.59406e-02,0.160242
-1.59405e-02,0.160094
-1.59403e-02,0.159289
-1.59402e-02,0.158992
-1.59400e-02,0.158602
-1.59398e-02,0.158281
-1.59397e-02,0.157883
-1.59395e-02,0.157203
-1.59394e-02,0.156016
-1.59392e-02,0.155008
-1.59390e-02,0.154992
-1.59389e-02,0.154008
-1.59387e-02,0.152797
-1.59386e-02,0.151547
-1.59384e-02,0.150563
-1.59382e-02,0.149789
-1.59381e-02,0.148344
-1.59379e-02,0.147719
-1.59378e-02,0.146945
-1.59376e-02,0.14657
-1.59374e-02,0.14657
-1.59373e-02,0.14593
-1.59371e-02,0.145359
-1.59370e-02,0.14525
-1.59368e-02,0.145008
-1.59366e-02,0.144773
-1.59365e-02,0.145
-1.59363e-02,0.145
-1.59362e-02,0.145
-1.59360e-02,0.145047
-1.59358e-02,0.14568
-1.59357e-02,0.146313
-1.59355e-02,0.14668
-1.59354e-02,0.147164
-1.59352e-02,0.14793
-1.59350e-02,0.148766
-1.59349e-02,0.15
-1.59347e-02,0.150992
-1.59346e-02,0.151953
-1.59344e-02,0.152922
-1.59342e-02,0.153758
-1.59341e-02,0.154961
-1.59339e-02,0.1555
-1.59338e-02,0.156133
-1.59336e-02,0.157625
-1.59334e-02,0.158828
-1.59333e-02,0.159766
-1.59331e-02,0.161531
-1.59330e-02,0.162766
-1.59328e-02,0.163914
-1.59326e-02,0.165906
-1.59325e-02,0.166758
-1.59323e-02,0.167695
-1.59322e-02,0.168805
-1.59320e-02,0.169648
-1.59318e-02,0.171023
-1.59317e-02,0.171445
-1.59315e-02,0.172195
-1.59314e-02,0.172984
-1.59312e-02,0.173
-1.59310e-02,0.172766
-1.59309e-02,0.172031
-1.59307e-02,0.171266
-1.59306e-02,0.170766
